Año, País,  PIB, PIB PERCAPITA, emisiones de co2, emisiones de co2 percapita, tasa natalidad, tasa mortalidad, población
;Rep. Dom;69.69;25602;3007;19593;2.25;24.36;6.1;8513000
;Uruguay;74.94;20907;6238;5018;1.51;15.71;9.44;3351000
;Venezuela;72.52;123156;4965;139593;5.6;23.46;5.1;24803000
2002;Argentina;73.93;108731;2898;133083;3.51;19.18;7.82;37516000
;Bolivia;63.64;7917;915;8103;0.94;29.26;8.93;8653000
;Brasil;70.81;509358;2854;364896;2.03;18.96;6.11;178499000
;Chile;76.89;69729;4444;51639;3.31;15.71;5.36;15692000
;Colombia;73.52;97020;2348;58795;1.41;21.13;4.7;41329000
;Costa Rica;77.74;16525;4108;5631;1.39;18.04;4.04;4022000
;Cuba;77.11;33591;2999;26570;2.37;12.41;7.2;11199651
;Ecuador;73.37;28549;2180;23563;1.8;24.44;5.09;13094000
;El salvador;69.43;12664;2132;6290;1.06;23.21;6.71;5940000
;Guatemala;68.72;20777;1702;10684;0.88;34.01;5.93;12209000
;Haití;57.66;3475;397;1983;0.22;30.89;10.98;8754150
;Honduras;71.25;7775;1133;6259;0.91;31.98;5.04;6863000
;México;74.92;772110;7466;401187;3.84;23.01;4.4;103418000
;Nicaragua;70.31;5224;1012;4127;0.8;26.04;5.19;5162000
;Panamá;75.4;13204;4173;5429;1.72;22.83;4.8;3164000
;Paraguay;71.02;7196;1312;4084;0.74;25.53;5.43;5485000
;Perú;71.88;53954;2018;27974;1.05;23.21;5.58;26739379
;Rep. Dom;69.96;27249;3158;23361;2.64;23.96;6.08;8628000
;Uruguay;75.15;13632;4073;4625;1.39;15.7;9.56;3347000
;Venezuela;72.64;95570;3791;136731;5.38;23.14;4.2;25212000
2003;Argentina;74.11;138071;3646;146163;3.82;19.03;7.8;37870000
;Bolivia;64.21;8092;918;8863;1.01;28.72;8.71;8810000
;Brasil;71.17;557680;3086;363355;1.99;18.36;6.08;180708000
;Chile;77.15;75643;4770;53569;3.39;15.41;5.38;15857000
;Colombia;73.78;93751;2240;58307;1.38;20.54;4.6;41849000
;Costa Rica;77.87;17220;4214;6080;1.47;17.51;4.08;4086000
;Cuba;77.3;35901;3197;25820;2.3;12.09;7.23;11229183
;Ecuador;73.64;32433;2435;23589;1.77;23.93;5.06;13320000
;El salvador;69.68;13244;2218;6612;1.11;22.47;6.7;5970000
;Guatemala;69.09;21918;1753;10533;0.84;33.21;5.81;12500000
;Haití;57.96;2984;335;1895;0.21;30.47;10.82;8900104
;Honduras;71.51;8140;1157;6927;0.98;31.03;4.96;7034000
;México;75.12;729335;6965;421239;3.99;22.58;4.5;104720000
;Nicaragua;70.64;5322;1010;4277;0.82;25.64;5.15;5268000
;Panamá;75.57;13915;4313;5543;1.73;22.54;4.81;3227000
;Paraguay;71.25;7691;1378;4226;0.75;24.94;5.4;5583000
;Perú;72.24;58537;2160;27461;1.02;22.83;5.52;27103457
;Rep. Dom;70.23;21518;2461;19405;2.16;23.57;6.06;8745000
;Uruguay;75.37;12067;3615;4585;1.38;15.3;9.86;3338000
;Venezuela;72.78;83670;3266;136818;5.29;22.83;4.6;25622000
2004;Argentina;74.28;164911;4314;162426;4.19;18.88;7.79;38226000
;Bolivia;64.77;8785;980;9468;1.06;28.16;8.5;8968000
;Brasil;71.53;668432;3655;378804;2.05;17.79;6.06;182865000
;Chile;77.39;99224;6193;57880;3.62;15.18;5.41;16022000
;Colombia;74.03;115986;2738;58428;1.37;19.92;4.5;42368000
;Costa Rica;78;18562;4471;6158;1.47;17.07;4.14;4152000
;Cuba;77.5;38203;3396;25336;2.25;11.78;7.26;11250365
;Ecuador;73.89;36592;2700;26252;1.94;23.46;5.04;13552000
;El salvador;69.91;13725;2287;6670;1.11;21.84;6.71;6000000
;Guatemala;69.44;23965;1873;11128;0.87;32.35;5.69;12797000
;Haití;58.29;3538;391;2143;0.24;30.05;10.65;9047077
;Honduras;71.77;8772;1218;7874;1.09;30.09;4.88;7204000
;México;75.24;782243;7383;431395;4.03;22.16;4.5;105952000
;Nicaragua;70.93;5793;1078;4420;0.83;25.28;5.12;5375000
;Panamá;75.73;15255;4639;5638;1.72;22.28;4.82;3289000
;Paraguay;71.46;9624;1694;4262;0.75;24.44;5.39;5682000
;Perú;72.58;66126;2408;31627;1.16;22.49;5.49;27460073
;Rep. Dom;70.5;22506;2541;18076;1.99;23.2;6.05;8858000
;Uruguay;75.6;13708;4103;5710;1.72;15.2;9.76;3341000
;Venezuela;72.98;112189;4310;144259;5.48;22.52;4.3;26033000
2005;Argentina;74.45;199273;5164;165479;4.23;18.74;7.78;38592000
;Bolivia;65.31;9573;1049;9986;1.09;27.6;8.31;9125000
;Brasil;71.9;890671;4815;381161;2.04;17.24;6.04;184991000
